tcp.flags.ack,tcp.flags,icmp.seq_le,icmp.checksum,tcp.ack_raw,tcp.checksum,http.request.method,udp.stream,tcp.dstport,tcp.connection.fin,tcp.connection.synack,tcp.ack,http.content_length,tcp.connection.syn,tcp.srcport,arp.hw.size,arp.opcode,tcp.connection.rst,tcp.len,frame.time,dns.qry.name.len,dns.qry.qu,udp.time_delta,mqtt.protoname,tcp.seq,Attack_type
1.0,16.0,0.0,0.0,2674534260.0,13259.0,0,0.0,80.0,0.0,0.0,479.0,0.0,0.0,44928.0,0.0,0.0,0.0,0.0, 2021 21:42:46.667925000 ,0.0,0.0,0.0,0.0,320.0,SQL_injection
0.0,2.0,0.0,0.0,63450673.0,50710.0,0.0,0.0,80.0,0.0,0.0,63450673.0,0.0,1.0,5523.0,0.0,0.0,0.0,0.0, 2021 17:12:30.071174000 ,0.0,0.0,0.0,0.0,0.0,Port_Scanning
1.0,16.0,0.0,0.0,2579681772.0,47456.0,0.0,0.0,56322.0,0.0,0.0,1379889.0,0.0,0.0,4321.0,0.0,0.0,0.0,0.0, 2021 18:25:22.997699000 ,0.0,0.0,0.0,0.0,1.0,Backdoor
1.0,24.0,0.0,0.0,3760516802.0,23826.0,GET,0.0,80.0,0.0,0.0,1.0,0.0,0.0,44924.0,0.0,0.0,0.0,221.0, 2021 19:25:38.735120000 ,0.0,0.0,0.0,0.0,1.0,Password
1.0,18.0,0.0,0.0,9024314.0,23299.0,0,0.0,60482.0,0.0,1.0,1.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0, 2021 19:09:47.160938000 ,0.0,0.0,0.0,0.0,0.0,XSS
1.0,16.0,0.0,0.0,3682058751.0,20474.0,0,0.0,48556.0,0.0,0.0,222.0,0.0,0.0,80.0,0.0,0.0,0.0,1448.0, 2021 20:03:18.434661000 ,0.0,0.0,0.0,0.0,1.0,Password
1.0,20.0,0.0,0.0,909548291.0,18816.0,0.0,0.0,4684.0,0.0,0.0,1.0,0.0,0.0,80.0,0.0,0.0,1.0,0.0, 2021 16:58:30.134488000 ,0.0,0.0,0.0,0.0,1.0,Port_Scanning
0.0,0.0,0.0,17906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 2021 22:25:36.614141000 ,0.0,0.0,0.0,0.0,0.0,Fingerprinting
1.0,17.0,0.0,0.0,295864321.0,8481.0,0,0.0,80.0,1.0,0.0,1.0,0.0,0.0,42698.0,0.0,0.0,0.0,0.0, 2021 17:32:36.975353000 ,0.0,0.0,0.0,0.0,1.0,Password
1.0,17.0,0.0,0.0,3147616353.0,1577.0,0,0.0,80.0,1.0,0.0,304.0,0.0,0.0,42838.0,0.0,0.0,0.0,0.0, 2021 16:59:41.876342000 ,0.0,0.0,0.0,0.0,262.0,Password
0.0,4.0,0.0,0.0,0.0,63395.0,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,37182.0,0.0,0.0,1.0,0.0, 2021 21:35:22.883058000 ,0.0,0.0,0.0,0.0,316.0,SQL_injection
1.0,16.0,0.0,0.0,798110477.0,61768.0,0,0.0,60662.0,0.0,0.0,122.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0, 2021 19:19:00.455909000 ,0.0,0.0,0.0,0.0,486.0,XSS
0.0,2.0,0.0,0.0,232648666.0,49523.0,0.0,0.0,80.0,0.0,0.0,232648666.0,0.0,1.0,3474.0,0.0,0.0,0.0,0.0, 2021 16:38:18.804386000 ,0.0,0.0,0.0,0.0,0.0,Port_Scanning
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 2021 22:20:22.032166000 ,0.0,0.0,0.0,0.0,0.0,Fingerprinting
1.0,16.0,0.0,0.0,3323169278.0,29011.0,0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,59456.0,0.0,0.0,0.0,0.0, 2021 18:12:16.165807000 ,0.0,0.0,0.0,0.0,1.0,XSS
0.0,2.0,0.0,0.0,0.0,30721.0,0.0,0.0,4321.0,0.0,0.0,0.0,0.0,1.0,58584.0,0.0,0.0,0.0,0.0, 2021 18:03:39.469250000 ,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,16.0,0.0,0.0,3042973339.0,51846.0,0,0.0,80.0,0.0,0.0,441.0,0.0,0.0,32908.0,0.0,0.0,0.0,0.0, 2021 19:43:57.776639000 ,0.0,0.0,0.0,0.0,103.0,XSS
1.0,16.0,0.0,0.0,3753889102.0,57762.0,0,0.0,80.0,0.0,0.0,1449.0,0.0,0.0,43140.0,0.0,0.0,0.0,0.0, 2021 17:00:02.951688000 ,0.0,0.0,0.0,0.0,222.0,Password
1.0,20.0,0.0,0.0,768407779.0,59426.0,0.0,0.0,7731.0,0.0,0.0,1.0,0.0,0.0,80.0,0.0,0.0,1.0,0.0, 2021 17:49:21.061405000 ,0.0,0.0,0.0,0.0,1.0,Port_Scanning
